Merk,Model,Tahun Produksi,Jarak Tempuh,Warna,Engine CC,Transmission,Seat Capacity,Harga,Fuel Type,Umur Mobil
Toyota,Yaris,2018.0,47500.0,Black,1496.0,Automatic,5.0,175000000.0,Petrol,7.0
Toyota,Vellfire,2015.0,97500.0,Black,2494.0,Automatic,7.0,480000000.0,Petrol,10.0
Mitsubishi,Xpander,2021.0,32500.0,Black,1499.0,Automatic,7.0,255000000.0,Petrol,4.0
Daihatsu,Rocky,2021.0,32500.0,Red,998.0,Automatic,5.0,180000000.0,Petrol,4.0
Honda,Cr,2017.0,87500.0,Black,1997.0,Manual,5.0,220000000.0,Petrol,8.0
Toyota,Kijang,2011.0,142500.0,Silver,1998.0,Automatic,8.0,125000000.0,Petrol,14.0
Toyota,Sienta,2019.0,52500.0,Black,1497.0,Automatic,7.0,175000000.0,Petrol,6.0
Toyota,Kijang,2021.0,27500.0,Black,1998.0,Automatic,7.0,285000000.0,Petrol,4.0
Hyundai,Santa,2022.0,47500.0,Black,2151.0,Automatic,7.0,450000000.0,Diesel,3.0
Toyota,Fortuner,2017.0,57500.0,Silver,2393.0,Automatic,7.0,355000000.0,Diesel,8.0
Kia,Seltos,2020.0,72500.0,White,1353.0,Automatic,5.0,185000000.0,Diesel,5.0
Toyota,Fortuner,2023.0,47500.0,Silver,2755.0,Automatic,7.0,479000000.0,Diesel,2.0
Chery,Tiggo,2024.0,32500.0,White,1498.0,Automatic,5.0,165000000.0,Petrol,1.0
Suzuki,Jimny,2025.0,2500.0,White,1500.0,Automatic,4.0,440000000.0,Petrol,0.0
Suzuki,Baleno,2019.0,47500.0,Grey,1373.0,Automatic,5.0,159000000.0,Petrol,6.0
Hyundai,Creta,2022.0,27500.0,Red,1497.0,Automatic,5.0,262000000.0,Petrol,3.0
Toyota,Crown,2013.0,12500.0,Black,2994.0,Automatic,5.0,540000000.0,Petrol,12.0
Toyota,Avanza,2024.0,12500.0,Black,1496.0,Automatic,7.0,203000000.0,Petrol,1.0
Toyota,Avanza,2024.0,7500.0,White,1329.0,Manual,7.0,188000000.0,Petrol,1.0
Mercedes,Benz,2017.0,32500.0,White,1595.0,Automatic,5.0,339000000.0,Petrol,8.0
Mercedes,Benz,2018.0,37500.0,White,1991.0,Automatic,5.0,455000000.0,Petrol,7.0
Mercedes,Benz,2022.0,2500.0,White,1999.0,Automatic,5.0,795000000.0,Petrol,3.0
Mazda,3,2023.0,12500.0,Black,1998.0,Automatic,5.0,440000000.0,Petrol,2.0
